content,title
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Victor Ruiz Rosas', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: ingmecanica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5005 - Asistente: 5004']",Datos de contacto Ingeniería Mecánica  (por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad de Artes - ASAB', 'Coordinador(a): Sandro Romero Rey', 'Dirección: Carrera 13 # 14 - 69 Dirección: Piso 2', 'Email: artes-escenicas@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 6608 - Secretaria: 6609']",Datos de contacto Artes Escénicas con Énfasis en Dirección y Actuación
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Humberto Alexis Rodríguez Rodríguez', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 2', 'Email: liceduhlc@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): coordinación: 3036 - 3059']",Datos de contacto Licenciatura en Humanidades y Lengua Castellana
"['Proyecto perteneciente a la Facultad de Artes - ASAB', 'Coordinador(a): Dilma Valderrama', 'Dirección: Carrera 13 # 14 - 69 Dirección: Piso 2', 'Email: artes-plasticas@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 6610 - Secretaria: 6611']",Datos de contacto Artes Plásticas y Visuales
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Elkin Dario Agudelo Colorado', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 1', 'Email: lsocial@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 3024 - 3025 - Centro de Documentación de Ciencias Sociales - CDOSO: 3040']",Datos de contacto Licenciatura en Ciencias Sociales
"['Proyecto perteneciente a la Facultad de Artes - ASAB', 'Coordinador(a): Ricardo Barrera Tacha', 'Dirección: Carrera 13 # 14 - 69 Dirección: Piso 2', 'Email: artes-musicales@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 6612 - Asistente: 6613']",Datos de contacto Artes Musicales
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Daniel Ernesto Beltrán Riaño', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 2', 'Email: lebei@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 3038 - 3039']",Datos de contacto Licenciatura en Lenguas Extranjeras con Énfasis en Inglés
"['Proyecto perteneciente a la Facultad de Medio Ambiente y Recursos Naturales', 'Coordinador(a): Gustavo Chacón Mejía', 'Dirección:  Calle 52 Sur # 93D - 97 / Calle 52 Sur # 92A - 45 ', 'Email: gservis@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): coordinación: 4029 - 4030']",Datos de contacto Tecnología en Gestión Ambiental y Servicios Públicos
"['Proyecto perteneciente a la Facultad de Artes - ASAB', 'Coordinador(a): John Mario Cárdenas Garzón', 'Dirección: Carrera 13 # 14 - 69 Dirección: Piso 2', 'Email: artes-danzario@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 6630 - Secretaria: 6614']",Datos de contacto Arte Danzario
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Norberto Novoa Torres', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: ingtelematica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5009 - Asistente: 5008']",Datos de contacto Ingeniería en Telemática  (por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Rodrigo Elías Esquivel Ramírez', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: ingcivil@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5013 - Asistente: 5012']",Datos de contacto Ingeniería Civil  (por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Miltón del Castillo Lesmes Acosta', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 2', 'Email: matematicas@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 3001 - 3002']",Datos de contacto Matemáticas
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Esperanza Camargo Casallas', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: tecelectronica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5010 - Asistente: 5011']",Datos de contacto Ingeniería en Control (por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Betty Sandoval Guzmán', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 2', 'Email: licpedagogiainfantil@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 3620 - Asistente :3621']",Datos de contacto Licenciatura en Educación Infantil
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Rodrigo Elías Esquivel Ramírez', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: tecconsciviles@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5013 - Asistente: 5013']",Datos de contacto Tecnología en Construcciones Civiles (Por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad de Medio Ambiente y Recursos Naturales', 'Coordinador(a): Álvaro Fernando Castillo Pinilla', 'Dirección:  Calle 52 Sur # 93D - 97 / Calle 52 Sur # 92A - 45 ', 'Email: tecsanea@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 4027 - 4028']",Datos de contacto Tecnología en Saneamiento Ambiental
"['Proyecto perteneciente a la Facultad de Ingeniería', 'Coordinador(a): Oscar David Florez Cediel', 'Dirección: Carrera 7 # 40B - 53 Dirección: Piso 5', 'Email: ingelectrica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 1540 - 1510']",Datos de contacto Ingeniería Eléctrica
"['Proyecto perteneciente a la Facultad de Medio Ambiente y Recursos Naturales', 'Coordinador(a): Carlos Alfonso Zafra Mejía', 'Dirección: Carrera 5 Este # 15-82 / Calle 14 # 7-46 Este (Globo B) Dirección: Piso 2', 'Email: ingambiental@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): 4040']",Datos de contacto Ingeniería Ambiental
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Manuel Alfonso Mayorga Morato', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: ingproduccion@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5007 - Asistente: 5006']",Datos de contacto Ingeniería de Producción (Por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Norberto Novoa Torres', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: tecsistematizaciondatos@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5009 - Asistente: 5008']",Datos de contacto Tecnología en Sistematización de Datos (Por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Manuel Alfonso Mayorga Morato', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: tecindustrial@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5007 - Asistente: 5006']",Datos de contacto Tecnología en Gestión de la Producción Industrial (Por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Cesar Alexander Chacón Cardona', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: tecelectrica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): secretaria: 5010 - Asistente: 5011']",Datos de contacto Tecnología en Sistemas Eléctricos de Media y Baja Tensión (por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad de Ingeniería', 'Coordinador(a): Juan Manuel Sánchez Céspedes', 'Dirección: Carrera 7 # 40B - 53 Dirección: Piso 5', 'Email: ingsistemas@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 1505 - Asistente: 1506']",Datos de contacto Ingeniería de Sistemas
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Esperanza Camargo Casallas', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: tecelectronica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5015 - Asistente: 5014']",Datos de contacto Ingeniería en Telecomunicaciones (por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Henry Mauricio Ortiz Salamanca', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 2', 'Email: licfisica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 3022']",Datos de contacto Licenciatura en Física
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Pedro Rocha Salamanca', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 2', 'Email: licmatematicas@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): coordinación: 6340 - 6341']",Datos de contacto Licenciatura en Matemáticas
"['Proyecto perteneciente a la Facultad de Ingeniería', 'Coordinador(a): Guillermo Enrique Real Florez', 'Dirección: Carrera 7 # 40B - 53 Dirección: Piso 5', 'Email: ingindustrial@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 1509 - 1514']",Datos de contacto Ingeniería Industrial
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Borys Rafael Bustamante Bohórquez', 'Dirección:  Calle 52 Sur # 93D - 97 / Calle 52 Sur # 92A - 45 Dirección: Bloque 2', 'Email: com.social.periodismo@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 4227 - 4228']",Datos de contacto Comunicación Social y Periodismo
"['Proyecto perteneciente a la Facultad de Medio Ambiente y Recursos Naturales', 'Coordinador(a): Miguel Angel García Reyes', 'Dirección:  Calle 52 Sur # 93D - 97 / Calle 52 Sur # 92A - 45 Dirección: Bloque 3', 'Email: admdeportiva@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 4220 - Sede Calle 34: 6801 - 6802']",Datos de contacto Administración Deportiva
"['Proyecto perteneciente a la Facultad de Medio Ambiente y Recursos Naturales', 'Coordinador(a): Alfonso Pazos Alvarez', 'Dirección:  Calle 52 Sur # 93D - 97 / Calle 52 Sur # 92A - 45 ', 'Email: admambiental@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Coordinación: 4041 - 4042 - 4070']",Datos de contacto Administración Ambiental
"['Proyecto perteneciente a la Facultad de Ciencias y Educación', 'Coordinador(a): Luis Eduardo Peña Prieto', 'Dirección: Carrera 3 # 26A - 40 / Carrera 1 Este # 33 - 54 Dirección: Piso 2', 'Email: licquimica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 3300 - Asistente: 3143 - Coordinador Académico: 3012']",Datos de contacto Licenciatura en Química
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Victor Ruiz Rosas', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: tecmecanica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5005 - Asistente: 5004']",Datos de contacto Tecnología en Mecánica Industrial (Por ciclos propedéuticos)
"['Proyecto perteneciente a la Facultad Tecnológica', 'Coordinador(a): Cesar Alexander Chacón Cardona', 'Dirección: Calle 68D Bis A Sur # 49F - 70 Dirección: Bloque 6, piso 2', 'Email: tecelectrica@udistrital.edu.co', 'Pagina Web', 'PBX(s): 3239300  ', 'Teléfono(s) directo(s): N/A', 'Ext(s): Secretaria: 5010 - Asistente: 5011']",Datos de contacto Ingeniería Eléctrica (Por ciclos propedéuticos)
